site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
sidrolândia,2014-2015,20-40,5.04,5.65,28.12,1.4,52.88,0.1,2.75,1.1,0,6.15,3.95,10.1,39.11,48.38,1.9,0.24,14.31,107.42,81.4,2.5,0.99,27.23,10.89,60.89,0,55
sãogabrieldooeste,2014-2015,00-20,5.1,5.71,28.69,12.95,52.88,0.11,2.9,1,0,4.49,4.01,8.5,47.18,11.09,7.75,0.36,5.39,70.94,33.47,2.9,1.29,34.12,11.76,52.82,0,38
sãogabrieldooeste,2014-2015,20-40,4.63,5.25,20.33,1.14,52.88,0.06,1.15,0.6,0.14,4.49,1.81,6.3,28.73,31.39,1.25,0.34,3.43,17.9,41.95,1.92,0.95,18.25,9.52,69.05,7.18,48
bonito,2014-2015,00-20,4.88,5.49,26.63,15.32,52.88,0.13,5.95,1.45,0.05,4.13,7.53,11.66,64.58,6.62,2.29,0.39,1.17,89.52,35.84,4.1,1.11,51.03,12.44,34.99,0.66,31
bonito,2014-2015,20-40,5.54,6.16,19.81,3.23,52.88,0.05,5.55,1.2,0,2.82,6.8,9.62,70.69,7.81,1.52,0.3,0.87,52.35,41.95,4.63,0.52,57.69,12.47,29.31,0,35
maracaju,2015-2016,00-20,5.16,5.76,37.53,14.96,5,0.47,6.35,1.15,0,5.48,7.97,13.45,59.26,5.37,3.76,0.2,7.74,186,122.8,5.52,3.49,47.21,8.55,40.74,3.22,30.8
maracaju,2015-2016,20-40,5.11,5.73,20.86,1.05,52.88,0.16,3.8,1,0,4.31,4.96,9.27,53.51,43.26,1.81,0.19,7.29,66.46,149.22,3.8,1.73,40.99,10.79,46.49,0,47
naviraí,2015-2016,00-20,4.6,5.4,12,21,11.67,0.09,13,5,1,18,1,36,51,1,1.3,0.11,0.6,21.8,24,1.92,2.5,36.11,13.88,52.3,2.77,15.1
naviraí,2015-2016,20-40,4.6,5.4,9,7,5,1,9,3,2,15,2,28,46,2,0.2,0.15,0.5,17.1,31,5,3.57,32.14,21.42,39.5,7.14,19.5
dourados,2015-2016,00-20,6.5,6.11,31.82,25.37,52.88,0.27,7.6,1.15,0,5.04,9.02,14.06,64.15,9.02,6.6,0.23,4.68,46.05,81.56,1.9,1.92,54.05,8.18,35.85,0,31
dourados,2015-2016,20-40,4.82,5.44,25.05,4.09,52.88,0.11,3.45,0.05,0.15,4.89,4.51,10.42,43.28,4.51,1.3,0.15,7.3,61,78.2,4.89,1.06,33.11,9.12,55.28,3.22,38
riobrilhante,2015-2016,00-20,5.16,5.77,29.02,11.23,52.88,0.24,4.45,1.3,0,5.14,5.99,11.13,53.82,15.71,2.53,0.27,9.16,96.63,63.81,3.42,2.16,39.98,11.68,46.18,0,41
riobrilhante,2015-2016,20-40,5.25,5.87,20.79,1.53,52.88,0.09,2.82,0.93,0,4.27,3.84,8.11,47.35,65.67,1.45,0.23,8.25,45.24,81.56,3.03,1.11,34.77,11.47,52.65,0,51
caarapó,2015-2016,00-20,5.3,5.98,47.1,16.82,52.88,0.77,6.53,1.22,0,4.83,8.52,13.35,63.82,7.9,3.3,0.54,5.9,70.94,9.47,5.35,5.77,48.91,9.14,40.72,0,59
caarapó,2015-2016,20-40,5.5,6.1,47.86,31.28,9.25,0.72,6.4,1.1,0.4,2.9,6.8,7.22,67.2,8.98,4.56,0.32,10.75,113.3,9.47,6.11,5.77,56.7,6.9,63.1,18.46,64
amambaí,2015-2016,00-20,5.5,6.1,20,4,52.88,0.46,6.4,17,0,20,86,106,81,2,3,0.15,5.9,50.8,12,4,0.52,9.3,4.1,0,0,49.8
amambaí,2015-2016,20-40,5.5,6.1,15,2,52.88,0.31,4.9,15,0,16,67,84,80,12,1.2,0.25,8.4,28.4,18,3,0.7,13.97,4.1,0,0,59
antôniojoão,2015-2016,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,2.77,67
antôniojoão,2015-2016,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70
