site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
maracaju,2016,00-20,5.02,5.63,33.82,14.17,10,0.3,5.4,1.45,0,4.71,7.15,11.86,60.29,7.45,6.98,0.35,12.47,150.2,59.86,3.72,2.53,45.53,12.23,39.71,0,41
maracaju,2016,20-40,4.58,5.2,25.95,8.02,5.5,0.2,3.65,1,0.43,6.15,4.85,11,44.09,47.04,5.9,0.33,13.9,93.9,14,3.65,1.82,33.18,9.09,52,8.14,39
naviraí,2016,00-20,4.6,5.4,21,21,71,0.09,1.3,0.5,0.1,1.8,1.9,3.6,51,1,1.3,0.11,0.6,21.8,141.7,3,1.07,24.96,13.37,58.11,5.96,15.1
naviraí,2016,20-40,4.6,5.4,9,7,48,0.01,0.9,0.3,0.2,1.5,1.3,2.8,46,2,10.7,0.21,1.1,3.5,18.23,4,1.67,16.71,11.14,63.79,18.46,15
riobrilhante,2016,00-20,5.16,5.77,29.02,11.23,5.5,0.24,4.45,1.3,0,5.14,5.99,11.13,53.82,15.71,2.53,0.27,9.16,96.63,63.81,3.42,2.16,39.98,11.68,46.18,0,41
riobrilhante,2016,20-40,5.25,5.87,20.79,1.53,4.1,0.09,2.82,0.93,0,4.27,3.84,8.11,47.35,65.67,1.45,0.23,8.25,45.24,81.56,0.03,1.11,34.77,11.47,52.65,0,53.9
amambaí,2017,00-20,5.7,6.3,45,15.32,41,0.62,10.3,1,0,3.1,13,16.1,81,5,2.5,0.32,8.2,27.4,20,5,6.41,55.6,8.47,25.2,20.2,45.2
amambaí,2017,20-40,5.7,5.7,26,5.18,10,0.12,4.6,1.5,0,3,6.4,9.3,68,32,0.7,0.13,5.8,11.1,18,3,5.9,48.2,16.94,23.04,8.14,43.1
bonito,2017,00-20,4.8,5.6,39,11.97,32,0.3,6.6,2.2,0,4.5,9.1,13.6,67,7,1.2,0.24,1.5,22.9,26,3,0.52,53,19.53,32.1,0,34
bonito,2017,20-40,5.3,5.9,31,11,11,0.11,6.8,2,0,3.2,8.9,12.1,73,26,0.6,0.15,1.2,10.8,11,3.4,1.7,53,18.57,29.14,0,38.9
douradossiloscopasul,2017,00-20,4.9,5.6,38,4,48,0.34,6.1,1.4,0,4.7,7.8,12.5,63,7,2.8,0.42,9,25.5,30,4.4,4.2,42.9,11.2,42.74,3.4,62.2
douradossiloscopasul,2017,20-40,5,5.7,22,0.53,10,0.1,4.9,1.1,0,3.9,6.1,10,61,33,1.9,0.22,6.2,12.6,18,4.4,1.2,42.8,11.14,43.27,0,60.7
dourados,2017,00-20,5.6,6.2,40,21,60,0.54,8.3,1.7,0,2.9,10.6,13.5,78,11,1.5,0.72,5.2,20.7,14,4.9,3.31,64.92,9.89,25.2,0,51.1
dourados,2017,20-40,4.9,5.6,28,2.65,10,0.18,6.8,1.2,0,5,8.2,13.2,62,83,0.8,0.32,5,12.3,12,5.6,1.19,51.96,8.6,40.94,0,55.2
maracaju,2017,00-20,4.9,5.6,40,15.32,71,0.44,8,1.4,0,5.3,9.8,15.1,65,38,1.7,0.32,5.4,24.9,30,5.7,2.35,51.96,7.73,35.5,8.14,51.3
maracaju,2017,20-40,5,5.7,34,0.53,16,0.21,5.6,1.1,0.1,4.6,6.9,11.5,60,84,0.7,0.27,3.9,17.5,14,4.9,1.41,50.48,11.14,44.27,0,55.1
naviraí,2017,00-20,4.4,5.2,20,30.84,25,0.12,2.1,0.7,0.2,3.7,2.9,6.6,44,5,1,0.1,1.1,5.3,27,3.2,0.95,40.08,11.47,54,7.2,11.9
naviraí,2017,20-40,4.3,5.1,12,19,16,0.14,1.3,0.5,0.3,3.3,2,5.3,37,11,0.4,0.25,1.1,5.4,20,2.8,1.9,32,12.48,58.11,10.38,14.7
riobrilhante,2017,00-20,5.16,5.77,29.02,11.23,5.5,0.24,4.45,1.3,0,5.14,5.99,11.13,53.82,15.71,2.53,0.27,9.16,96.63,63.81,3.42,2.16,39.98,11.68,46.18,0,41
riobrilhante,2017,20-40,5.25,5.87,20.79,1.53,4.1,0.09,2.82,0.93,0,4.27,3.84,8.11,47.35,65.67,1.45,0.23,8.25,45.24,81.56,0.03,1.11,34.77,11.57,52.65,0,62.2
sidrolândia,2017,00-20,5.3,6,49,21.2,95,0.64,8.2,1.2,0,4,10.1,14,72,5,3.9,0.4,8.6,6.7,18,6.6,3.87,58.4,4.9,33.49,18.46,52.8
