id,material,harvest,site,productivity,species
1225,as1590yg,2014,sidrolândia,129.2,corn
1226,as1590yg,2014,amambai,87.5,corn
1227,as1590yg,2015,amambai,120.9,corn
1228,as1590yg,2015,bonito,139.6,corn
1229,as1590yg,2015,dourados,93.1,corn
1230,as1590yg,2015,maracaju,112.7,corn
1231,as1590yg,2015,naviraí,111.1,corn
1232,as1590yg,2015,rio brilhante,128.8,corn
1233,as1590yg,2015,são gabriel do oeste,152.3,corn
1234,as1590yg,2015,sidrolândia,151.3,corn
1235,as1592yg,2015,amambai,150.8,corn
1236,as1592yg,2015,bonito,159.6,corn
1237,as1592yg,2015,dourados,126.0,corn
1238,as1592yg,2015,maracaju,148.8,corn
1239,as1592yg,2015,naviraí,88.4,corn
1240,as1592yg,2015,rio brilhante,164.0,corn
1241,as1592yg,2015,são gabriel do oeste,143.3,corn
1242,as1592yg,2015,sidrolândia,155.5,corn
1243,as1596,2016,dourados,101.5,corn
1244,as1596,2016,maracaju,117.1,corn
1245,as1596,2016,naviraí,78.2,corn
1246,as1596,2016,sidrolândia,140.5,corn
1247,as1626pro,2013,antônio joão,98.0,corn
1248,as1626pro,2013,dourados,154.4,corn
1249,as1626pro,2013,maracaju,121.4,corn
1250,as1626pro,2013,naviraí,109.7,corn
1251,as1626pro,2013,rio brilhante,96.4,corn
1252,as1626pro,2013,são gabriel do oeste,113.0,corn
1253,as1626pro,2013,sidrolândia,129.2,corn
1254,as1633pro3,2013,antônio joão,102.2,corn
1255,as1633pro3,2013,dourados,160.3,corn
1256,as1633pro3,2013,maracaju,124.4,corn
1257,as1633pro3,2013,naviraí,106.1,corn
1258,as1633pro3,2013,rio brilhante,92.0,corn
1259,as1633pro3,2013,são gabriel do oeste,96.1,corn
1260,as1633pro3,2013,sidrolândia,134.6,corn
1261,as1642pro,2009,sidrolândia,68.8,corn
1262,as1642pro,2011,maracaju,80.7,corn
1263,as1642pro,2010,rio brilhante,87.2,corn
1264,as1642pro,2011,rio brilhante,98.1,corn
1265,as1642pro,2011,sidrolândia,81.8,corn
1266,as1660,2010,dourados,88.0,corn
1267,as1660,2009,maracaju,86.4,corn
1268,as1660,2010,maracaju,105.9,corn
1269,as1660,2009,sidrolândia,92.3,corn
1270,as1660,2009,maracaju,60.1,corn
1271,as1660,2009,naviraí,88.1,corn
1272,as1660,2009,sidrolândia,87.9,corn
1273,as1660pro,2010,dourados,73.0,corn
1274,as1660pro,2010,maracaju,90.7,corn
1275,as1661pro,2009,aral moreira,49.4,corn
1276,as1661pro,2009,dourados,13.3,corn
1277,as1661pro,2009,maracaju,70.0,corn
1278,as1661pro,2009,naviraí,108.0,corn
1279,as1661pro,2009,rio brilhante,56.1,corn
1280,as1661pro,2009,são gabriel do oeste,91.0,corn
1281,as1661pro,2009,sidrolândia,96.8,corn
1282,as1661pro,2009,sonora,31.6,corn
1283,as1665pro,2009,dourados,8.8,corn
1284,as1665pro,2009,maracaju,68.3,corn
1285,as1665pro,2009,naviraí,97.7,corn
1286,as1665pro,2009,rio brilhante,56.0,corn
1287,as1665pro,2009,são gabriel do oeste,66.4,corn
1288,as1665pro,2009,sidrolândia,76.9,corn
1289,as1665pro,2009,sonora,28.2,corn
1290,as1665pro,2010,aral moreira,124.1,corn
1291,as1665pro,2010,dourados,77.9,corn
1292,as1665pro,2011,dourados,93.5,corn
1293,as1665pro,2010,maracaju,96.7,corn
1294,as1665pro,2011,maracaju,98.4,corn
1295,as1665pro,2010,naviraí,81.6,corn
1296,as1665pro,2011,naviraí,89.9,corn
1297,as1665pro,2010,rio brilhante,100.7,corn
1298,as1665pro,2011,são gabriel do oeste,105.8,corn
1299,as1665pro,2010,sidrolândia,84.5,corn
1300,as1665pro,2010,sonora,35.5,corn
1301,as1665pro,2011,sonora,79.8,corn
1302,as1665pro,2012,aral moreira,76.1,corn
1303,as1665pro,2012,dourados,107.5,corn
1304,as1665pro,2012,são gabriel do oeste,85.6,corn
1305,as1777pro3,2013,antônio joão,103.9,corn
1306,as1777pro3,2013,dourados,148.4,corn
1307,as1777pro3,2013,rio brilhante,84.4,corn
1308,as1777pro3,2013,sidrolândia,111.3,corn
1309,as3421,2012,aral moreira,82.4,corn
1310,as3421,2012,dourados,137.3,corn
1311,as3421,2012,são gabriel do oeste,118.7,corn
1312,as3421yg,2012,aral moreira,66.8,corn
1313,as3421yg,2011,dourados,115.5,corn
1314,as3421yg,2011,maracaju,118.7,corn
1315,as3421yg,2011,naviraí,123.6,corn
1316,as3421yg,2012,são gabriel do oeste,124.3,corn
1317,as3421yg,2009,aral moreira,78.4,corn
1318,as3421yg,2009,dourados,8.1,corn
1319,as3421yg,2009,maracaju,76.6,corn
1320,as3421yg,2009,naviraí,99.7,corn
1321,as3421yg,2009,rio brilhante,65.8,corn
1322,as3421yg,2009,são gabriel do oeste,80.8,corn
1323,as3421yg,2009,sidrolândia,91.7,corn
1324,as3421yg,2009,sonora,32.3,corn
1325,as3421yg,2010,aral moreira,116.5,corn
1326,as3421yg,2010,dourados,87.2,corn
1327,as3421yg,2010,maracaju,114.1,corn
1328,as3421yg,2010,naviraí,100.7,corn
1329,as3421yg,2010,rio brilhante,97.5,corn
1330,as3421yg,2010,são gabriel do oeste,94.5,corn
1331,as3421yg,2010,sidrolândia,81.7,corn
1332,as3421yg,2010,sonora,49.5,corn
1333,atl200,2012,dourados,129.1,corn
1334,axor723,2010,aral moreira,114.5,corn
1335,axor723,2010,dourados,75.1,corn
1336,axor723,2011,dourados,84.6,corn
1337,axor723,2010,maracaju,116.7,corn
1338,axor723,2011,maracaju,112.3,corn
1339,axor723,2010,naviraí,83.0,corn
1340,axor723,2011,naviraí,111.3,corn
1341,axor723,2010,rio brilhante,93.0,corn
1342,axor723,2010,são gabriel do oeste,92.9,corn
1343,axor723,2011,são gabriel do oeste,112.6,corn
1344,axor723,2010,sidrolândia,92.6,corn
1345,axor723,2010,sonora,48.3,corn
1346,axor723,2011,sonora,80.7,corn
1347,b184 1,2013,dourados,145.1,corn
1348,b184 1,2013,rio brilhante,84.4,corn
1349,b184 1,2013,sidrolândia,129.0,corn
1350,b580,2009,aral moreira,61.9,corn
1351,b580,2009,dourados,2.6,corn
1352,b580,2009,maracaju,64.6,corn
1353,b580,2009,naviraí,96.9,corn
1354,b580,2009,rio brilhante,55.7,corn
1355,b580,2009,são gabriel do oeste,86.8,corn
1356,b580,2011,são gabriel do oeste,114.4,corn
1357,b580,2009,sidrolândia,89.2,corn
1358,b580,2009,sonora,41.0,corn
1359,b580,2011,sonora,86.5,corn
1360,b761,2011,maracaju,103.1,corn
1361,b761,2011,naviraí,118.1,corn
1362,b761,2011,rio brilhante,118.8,corn
1363,b761,2011,sidrolândia,108.1,corn
1364,b761,2011,sonora,70.1,corn
1365,b761,2011,dourados,111.8,corn
1366,b7690,2009,aral moreira,74.0,corn
1367,b7690,2009,dourados,11.1,corn
1368,b7690,2009,maracaju,67.6,corn
1369,b7690,2009,naviraí,94.3,corn
1370,b7690,2009,rio brilhante,62.2,corn
1371,b7690,2009,são gabriel do oeste,70.7,corn
1372,b7690,2009,sidrolândia,92.3,corn
1373,b7690,2009,sonora,31.7,corn
1374,bf9302,2009,dourados,23.9,corn
1375,bf9302,2009,maracaju,72.2,corn
1376,bf9302,2009,naviraí,97.3,corn
1377,bf9302,2009,rio brilhante,68.9,corn
1378,bf9302,2009,são gabriel do oeste,78.9,corn
1379,bf9302,2009,sidrolândia,85.7,corn
1380,bf9302,2009,sonora,28.6,corn
1381,bf9302,2009,aral moreira,82.3,corn
1382,bf9719,2012,aral moreira,85.7,corn
1383,bf9719,2011,dourados,119.4,corn
1384,bf9719,2012,dourados,122.8,corn
1385,bf9719,2012,naviraí,110.2,corn
1386,bf9719,2012,rio brilhante,107.4,corn
1387,bf9719,2011,sidrolândia,131.1,corn
1388,bf9719,2012,sidrolândia,134.6,corn
1389,bg7032h,2013,dourados,141.8,corn
1390,bg7032h,2014,dourados,100.3,corn
1391,bg7032h,2014,maracaju,89.9,corn
1392,bg7032h,2014,naviraí,103.5,corn
1393,bg7032h,2013,rio brilhante,96.3,corn
1394,bg7032h,2013,sidrolândia,115.0,corn
1395,bg7037h,2015,maracaju,139.4,corn
1396,bg7049,2015,amambai,112.6,corn
1397,bg7049,2015,dourados,119.1,corn
1398,bg7049,2015,naviraí,96.2,corn
1399,bg7049,2015,rio brilhante,126.0,corn
1400,bg7049,2015,são gabriel do oeste,153.5,corn
1401,bg7049,2015,sidrolândia,171.5,corn
1402,bg7049h,2013,dourados,137.8,corn
1403,bg7049h,2013,rio brilhante,83.1,corn
1404,bg7049h,2013,sidrolândia,103.8,corn
1405,bg7049h,2010,aral moreira,120.0,corn
1406,bg7049h,2010,dourados,79.2,corn
1407,bg7049h,2010,maracaju,114.2,corn
1408,bg7049h,2010,naviraí,105.1,corn
1409,bg7049h,2010,rio brilhante,115.1,corn
1410,bg7049h,2010,são gabriel do oeste,86.2,corn
1411,bg7049h,2010,sidrolândia,85.7,corn
1412,bg7049h,2010,sonora,48.3,corn
1413,bg7049hx,2014,dourados,105.4,corn
1414,bg7049hx,2014,maracaju,99.4,corn
1415,bg7049hx,2014,naviraí,109.8,corn
1416,bg7049hx,2015,amambai,97.6,corn
1417,bg7049yg,2012,aral moreira,53.6,corn
1418,bg7049yg,2012,dourados,116.0,corn
1419,bg7049yg,2012,naviraí,119.7,corn
1420,bg7049yg,2012,rio brilhante,107.1,corn
1421,bg7049yg,2012,sidrolândia,137.7,corn
1422,bg7049yh,2009,aral moreira,74.0,corn
1423,bg7049yh,2009,dourados,25.5,corn
1424,bg7049yh,2009,maracaju,74.9,corn
1425,bg7049yh,2009,naviraí,102.5,corn
1426,bg7049yh,2009,rio brilhante,70.7,corn
1427,bg7049yh,2009,são gabriel do oeste,95.6,corn
1428,bg7049yh,2009,sidrolândia,102.5,corn
1429,bg7049yh,2009,sonora,42.2,corn
1430,bg7051hx,2015,são gabriel do oeste,159.4,corn
1431,bg7051hx,2016,amambai,135.9,corn
1432,bg7051hx,2016,bonito,125.2,corn
1433,bg7051hx,2016,deodápolis,113.0,corn
1434,bg7051hx,2016,dourados,101.3,corn
1435,bg7051hx,2016,maracaju,127.3,corn
1436,bg7051hx,2016,naviraí,112.0,corn
1437,bg7051hx,2016,rio brilhante,133.8,corn
1438,bg7051hx,2016,sidrolândia,133.6,corn
1439,bg7051hx,2014,dourados,123.8,corn
1440,bg7051hx,2014,maracaju,100.7,corn
1441,bg7051hx,2014,naviraí,113.3,corn
1442,bg7055,2015,amambai,152.8,corn
1443,bg7055,2015,dourados,140.4,corn
1444,bg7055,2015,maracaju,171.2,corn
1445,bg7055,2015,naviraí,132.5,corn
1446,bg7055,2015,rio brilhante,141.6,corn
1447,bg7055,2015,são gabriel do oeste,133.6,corn
1448,bg7055,2015,sidrolândia,178.2,corn
1449,bg7061h,2015,amambai,122.5,corn
1450,bg7061h,2015,dourados,114.8,corn
1451,bg7061h,2015,maracaju,155.6,corn
1452,bg7061h,2015,naviraí,112.8,corn
1453,bg7061h,2015,rio brilhante,148.2,corn
1454,bg7061h,2015,são gabriel do oeste,139.7,corn
1455,bg7061h,2015,amambai,125.9,corn
1456,bg7061h,2015,dourados,121.9,corn
1457,bg7061h,2015,maracaju,144.1,corn
1458,bg7061h,2015,naviraí,119.6,corn
1459,bg7061h,2015,rio brilhante,137.6,corn
1460,bg7061h,2015,são gabriel do oeste,157.3,corn
1461,bg7061h,2009,aral moreira,107.5,corn
1462,bg7061h,2010,aral moreira,112.3,corn
1463,bg7061h,2009,dourados,28.1,corn
1464,bg7061h,2010,dourados,79.9,corn
1465,bg7061h,2009,maracaju,86.3,corn
1466,bg7061h,2010,maracaju,115.0,corn
1467,bg7061h,2009,naviraí,110.6,corn
1468,bg7061h,2010,naviraí,88.4,corn
1469,bg7061h,2009,rio brilhante,72.7,corn
1470,bg7061h,2009,são gabriel do oeste,88.4,corn
1471,bg7061h,2010,são gabriel do oeste,87.3,corn
1472,bg7061h,2009,sidrolândia,101.9,corn
1473,bg7061h,2009,sonora,37.7,corn
1474,bg7061h,2010,sonora,46.5,corn
1475,bg7065h,2010,aral moreira,134.2,corn
1476,bg7065h,2012,aral moreira,67.6,corn
1477,bg7065h,2010,dourados,106.2,corn
1478,bg7065h,2011,dourados,127.5,corn
1479,bg7065h,2012,dourados,113.2,corn
1480,bg7065h,2014,dourados,126.5,corn
1481,bg7065h,2010,maracaju,129.7,corn
1482,bg7065h,2014,maracaju,103.3,corn
1483,bg7065h,2010,naviraí,102.5,corn
1484,bg7065h,2012,naviraí,142.8,corn
1485,bg7065h,2014,naviraí,110.7,corn
1486,bg7065h,2010,rio brilhante,109.0,corn
1487,bg7065h,2012,rio brilhante,126.8,corn
1488,bg7065h,2010,sidrolândia,99.4,corn
1489,bg7065h,2011,sidrolândia,138.4,corn
1490,bg7065h,2012,sidrolândia,166.3,corn
1491,bg7065h,2010,são gabriel do oeste,98.8,corn
1492,bg7065h,2010,sonora,59.5,corn
1493,bg7330h,2015,amambai,126.8,corn
1494,bg7330h,2016,amambai,125.0,corn
1495,bg7330h,2016,bonito,114.0,corn
1496,bg7330h,2016,deodápolis,102.1,corn
1497,bg7330h,2015,dourados,107.4,corn
1498,bg7330h,2016,dourados,106.6,corn
1499,bg7330h,2015,maracaju,143.2,corn
1500,bg7330h,2016,maracaju,115.9,corn
1501,bg7330h,2015,naviraí,117.9,corn
1502,bg7330h,2016,naviraí,98.5,corn
1503,bg7330h,2015,rio brilhante,118.7,corn
1504,bg7330h,2016,rio brilhante,129.2,corn
1505,bg7330h,2015,são gabriel do oeste,133.5,corn
1506,bg7330h,2015,sidrolândia,140.2,corn
1507,bg7330h,2016,sidrolândia,125.4,corn
1508,bg733h,2010,são gabriel do oeste,106.0,corn
1509,bg733h,2014,amambai,83.8,corn
1510,bg733h,2013,antônio joão,104.3,corn
1511,bg733h,2012,aral moreira,97.5,corn
1512,bg733h,2010,dourados,99.5,corn
1513,bg733h,2012,dourados,123.4,corn
1514,bg733h,2013,dourados,164.4,corn
1515,bg733h,2014,dourados,100.0,corn
1516,bg733h,2011,maracaju,134.4,corn
1517,bg733h,2013,maracaju,131.7,corn
1518,bg733h,2014,maracaju,116.3,corn
1519,bg733h,2011,naviraí,122.3,corn
1520,bg733h,2012,naviraí,134.3,corn
1521,bg733h,2013,naviraí,101.0,corn
1522,bg733h,2014,naviraí,101.3,corn
1523,bg733h,2011,rio brilhante,144.5,corn
1524,bg733h,2012,rio brilhante,115.1,corn
1525,bg733h,2013,rio brilhante,103.4,corn
1526,bg733h,2011,são gabriel do oeste,111.5,corn
1527,bg733h,2013,são gabriel do oeste,106.1,corn
1528,bg733h,2014,são gabriel do oeste,127.2,corn
1529,bg733h,2012,sidrolândia,160.8,corn
1530,bg733h,2013,sidrolândia,126.8,corn
1531,bg733h,2014,sidrolândia,129.1,corn
1532,bg733h,2010,sonora,66.6,corn
1533,bg733h,2011,sonora,104.5,corn
1534,bg7432h,2011,maracaju,120.0,corn
1535,bg7439h,2012,aral moreira,75.6,corn
1536,bg7439h,2012,dourados,127.5,corn
1537,bg7439h,2012,naviraí,144.0,corn
1538,bg7439h,2012,rio brilhante,125.2,corn
1539,bg7439h,2012,são gabriel do oeste,123.0,corn
1540,bg7439h,2012,sidrolândia,166.6,corn
1541,bg7542h,2014,amambai,83.6,corn
1542,bg7542h,2015,amambai,127.2,corn
1543,bg7542h,2016,amambai,133.6,corn
1544,bg7542h,2013,antônio joão,104.5,corn
1545,bg7542h,2015,bonito,141.3,corn
1546,bg7542h,2016,bonito,120.6,corn
1547,bg7542h,2016,deodápolis,80.2,corn
1548,bg7542h,2013,dourados,154.3,corn
1549,bg7542h,2014,dourados,121.2,corn
1550,bg7542h,2015,dourados,106.1,corn
1551,bg7542h,2016,dourados,115.3,corn
1552,bg7542h,2013,maracaju,122.0,corn
1553,bg7542h,2014,maracaju,102.2,corn
1554,bg7542h,2015,maracaju,151.6,corn
1555,bg7542h,2016,maracaju,123.5,corn
1556,bg7542h,2013,naviraí,112.2,corn
1557,bg7542h,2014,naviraí,100.4,corn
1558,bg7542h,2015,naviraí,106.3,corn
1559,bg7542h,2016,naviraí,110.5,corn
1560,bg7542h,2013,rio brilhante,90.6,corn
1561,bg7542h,2015,rio brilhante,118.3,corn
1562,bg7542h,2016,rio brilhante,135.9,corn
1563,bg7542h,2013,são gabriel do oeste,107.8,corn
1564,bg7542h,2014,são gabriel do oeste,118.3,corn
1565,bg7542h,2015,são gabriel do oeste,139.6,corn
1566,bg7542h,2013,sidrolândia,123.8,corn
1567,bg7542h,2014,sidrolândia,141.0,corn
1568,bg7542h,2015,sidrolândia,182.4,corn
1569,bg7542h,2016,sidrolândia,122.6,corn
1570,bm780pro,2009,dourados,21.3,corn
1571,bm780pro,2009,maracaju,66.4,corn
1572,bm780pro,2010,maracaju,116.5,corn
1573,bm780pro,2009,naviraí,96.1,corn
1574,bm780pro,2009,rio brilhante,69.7,corn
1575,bm780pro,2009,são gabriel do oeste,84.1,corn
1576,bm780pro,2009,sidrolândia,93.3,corn
1577,bm780pro,2009,sonora,46.4,corn
1578,bm840pro,2009,dourados,32.8,corn
1579,bm840pro,2009,maracaju,81.4,corn
1580,bm840pro,2010,maracaju,100.5,corn
1581,bm840pro,2009,naviraí,106.8,corn
1582,bm840pro,2009,rio brilhante,73.5,corn
1583,bm840pro,2009,são gabriel do oeste,83.2,corn
1584,bm840pro,2009,sidrolândia,89.1,corn
1585,bm840pro,2009,sonora,39.4,corn
1586,brs1040,2014,amambai,99.7,corn
1587,brs1040,2016,amambai,138.8,corn
1588,brs1040,2013,antônio joão,118.5,corn
1589,brs1040,2012,aral moreira,76.5,corn
1590,brs1040,2016,bonito,122.9,corn
1591,brs1040,2016,deodápolis,97.0,corn
1592,brs1040,2012,dourados,137.0,corn
1593,brs1040,2013,dourados,167.5,corn
1594,brs1040,2014,dourados,131.3,corn
1595,brs1040,2016,dourados,114.1,corn
1596,brs1040,2013,maracaju,127.0,corn
1597,brs1040,2014,maracaju,109.2,corn
1598,brs1040,2016,maracaju,126.2,corn
1599,brs1040,2012,naviraí,121.5,corn
1600,brs1040,2013,naviraí,119.7,corn
1601,brs1040,2014,naviraí,105.2,corn
1602,brs1040,2016,naviraí,95.4,corn
1603,brs1040,2012,rio brilhante,134.5,corn
1604,brs1040,2013,rio brilhante,93.4,corn
1605,brs1040,2016,rio brilhante,144.5,corn
1606,brs1040,2012,são gabriel do oeste,126.2,corn
1607,brs1040,2013,são gabriel do oeste,125.0,corn
1608,brs1040,2014,são gabriel do oeste,125.9,corn
1609,brs1040,2012,sidrolândia,173.3,corn
1610,brs1040,2013,sidrolândia,132.5,corn
1611,brs1040,2014,sidrolândia,143.3,corn
1612,brs1040,2016,sidrolândia,130.3,corn
1613,brs2022,2015,amambai,128.2,corn
1614,brs2022,2015,bonito,154.9,corn
1615,brs2022,2015,dourados,94.3,corn
1616,brs2022,2015,maracaju,132.6,corn
1617,brs2022,2015,naviraí,115.6,corn
1618,brs2022,2015,rio brilhante,161.2,corn
1619,brs2022,2015,são gabriel do oeste,162.1,corn
1620,brs2022,2015,sidrolândia,180.3,corn
1621,brs3035,2016,amambai,147.0,corn
1622,brs3035,2016,bonito,128.4,corn
1623,brs3035,2016,deodápolis,106.1,corn
1624,brs3035,2016,dourados,110.9,corn
1625,brs3035,2016,maracaju,109.9,corn
1626,brs3035,2016,naviraí,81.5,corn
1627,brs3035,2016,rio brilhante,133.1,corn
1628,brs3035,2016,sidrolândia,131.7,corn
1629,brs sol da manhã,2009,dourados,18.8,corn
1630,brs sol da manhã,2009,maracaju,76.8,corn
1631,brs sol da manhã,2009,naviraí,87.9,corn
1632,brs sol da manhã,2009,rio brilhante,64.7,corn
1633,brs sol da manhã,2009,são gabriel do oeste,76.4,corn
1634,brs sol da manhã,2009,sidrolândia,90.6,corn
1635,brs sol da manhã,2009,sonora,32.6,corn
1636,brs sol da manhã,2014,amambai,109.2,corn
1637,brs sol da manhã,2015,amambai,127.5,corn
1638,brs sol da manhã,2016,amambai,111.5,corn
1639,brs sol da manhã,2009,aral moreira,83.4,corn
1640,brs sol da manhã,2010,aral moreira,139.1,corn
1641,brs sol da manhã,2012,aral moreira,80.6,corn
1642,brs sol da manhã,2015,bonito,158.6,corn
1643,brs sol da manhã,2016,bonito,119.1,corn
1644,brs sol da manhã,2016,deodápolis,86.9,corn
1645,brs sol da manhã,2010,dourados,95.0,corn
1646,brs sol da manhã,2011,dourados,124.2,corn
1647,brs sol da manhã,2012,dourados,129.3,corn
1648,brs sol da manhã,2014,dourados,133.6,corn
1649,brs sol da manhã,2015,dourados,113.7,corn
1650,brs sol da manhã,2016,dourados,124.7,corn
1651,brs sol da manhã,2009,maracaju,81.7,corn
1652,brs sol da manhã,2010,maracaju,109.8,corn
1653,brs sol da manhã,2011,maracaju,116.0,corn
1654,brs sol da manhã,2014,maracaju,85.6,corn
1655,brs sol da manhã,2015,maracaju,144.3,corn
1656,brs sol da manhã,2016,maracaju,85.6,corn
1657,brs sol da manhã,2009,naviraí,100.0,corn
1658,brs sol da manhã,2011,naviraí,132.2,corn
1659,brs sol da manhã,2012,naviraí,140.5,corn
1660,brs sol da manhã,2014,naviraí,106.4,corn
1661,brs sol da manhã,2015,naviraí,141.7,corn
1662,brs sol da manhã,2016,naviraí,75.1,corn
1663,brs sol da manhã,2009,rio brilhante,74.5,corn
1664,brs sol da manhã,2010,rio brilhante,104.6,corn
1665,brs sol da manhã,2011,rio brilhante,117.6,corn
1666,brs sol da manhã,2015,rio brilhante,137.2,corn
1667,brs sol da manhã,2016,rio brilhante,113.6,corn
1668,brs sol da manhã,2009,são gabriel do oeste,83.1,corn
1669,brs sol da manhã,2010,são gabriel do oeste,84.2,corn
1670,brs sol da manhã,2011,são gabriel do oeste,117.0,corn
1671,brs sol da manhã,2014,são gabriel do oeste,115.4,corn
1672,brs sol da manhã,2015,são gabriel do oeste,172.7,corn
1673,brs sol da manhã,2009,sidrolândia,104.3,corn
1674,brs sol da manhã,2010,sidrolândia,90.7,corn
1675,brs sol da manhã,2011,sidrolândia,129.3,corn
1676,brs sol da manhã,2014,sidrolândia,141.3,corn
1677,brs sol da manhã,2015,sidrolândia,163.4,corn
1678,brs sol da manhã,2016,sidrolândia,112.5,corn
1679,brs sol da manhã,2009,sonora,40.9,corn
1680,brs sol da manhã,2010,sonora,46.7,corn
1681,brs sol da manhã,2011,sonora,83.3,corn
1682,bx1200,2014,amambai,84.4,corn
1683,bx1200,2015,amambai,117.7,corn
1684,bx1200,2016,amambai,127.4,corn
1685,bx1200,2013,antônio joão,113.1,corn
1686,bx1200,2012,aral moreira,78.3,corn
1687,bx1200,2015,bonito,129.3,corn
1688,bx1200,2016,bonito,122.5,corn
1689,bx1200,2016,deodápolis,93.5,corn
1690,bx1200,2011,dourados,129.1,corn
1691,bx1200,2013,dourados,170.9,corn
1692,bx1200,2014,dourados,128.1,corn
1693,bx1200,2015,dourados,121.4,corn
1694,bx1200,2016,dourados,110.9,corn
1695,bx1200,2011,maracaju,126.5,corn
1696,bx1200,2013,maracaju,143.3,corn
1697,bx1200,2014,maracaju,100.3,corn
1698,bx1200,2015,maracaju,137.7,corn
1699,bx1200,2016,maracaju,110.7,corn
1700,bx1200,2011,naviraí,131.2,corn
1701,bx1200,2012,naviraí,141.7,corn
1702,bx1200,2013,naviraí,118.6,corn
1703,bx1200,2014,naviraí,119.9,corn
1704,bx1200,2015,naviraí,126.1,corn
1705,bx1200,2016,naviraí,89.9,corn
1706,bx1200,2011,rio brilhante,123.3,corn
1707,bx1200,2012,rio brilhante,135.8,corn
1708,bx1200,2013,rio brilhante,101.8,corn
1709,bx1200,2015,rio brilhante,108.0,corn
1710,bx1200,2016,rio brilhante,131.3,corn
1711,bx1200,2012,são gabriel do oeste,137.9,corn
1712,bx1200,2013,são gabriel do oeste,123.5,corn
1713,bx1200,2014,são gabriel do oeste,133.8,corn
1714,bx1200,2015,são gabriel do oeste,128.0,corn
1715,bx1200,2011,sidrolândia,149.9,corn
1716,bx1200,2012,sidrolândia,175.7,corn
1717,bx1200,2013,sidrolândia,137.5,corn
1718,bx1200,2014,sidrolândia,149.7,corn
1719,bx1200,2015,sidrolândia,163.9,corn
1720,bx1200,2016,sidrolândia,121.2,corn
1721,bx1255,2015,bonito,151.3,corn
1722,bx1255,2015,dourados,133.3,corn
1723,bx1255,2015,sidrolândia,160.2,corn
1724,bx1293,2016,amambai,146.0,corn
1725,bx1293,2016,bonito,130.5,corn
1726,bx1293,2016,deodápolis,88.7,corn
1727,bx1293,2016,dourados,111.6,corn
1728,bx1293,2016,maracaju,134.9,corn
1729,bx1293,2016,naviraí,98.6,corn
1730,bx1293,2016,rio brilhante,150.8,corn
1731,bx1293,2016,sidrolândia,138.7,corn
1732,bx710,2016,amambai,140.0,corn
1733,bx710,2016,bonito,132.2,corn
1734,bx710,2016,deodápolis,79.1,corn
1735,bx710,2016,dourados,131.9,corn
1736,bx710,2016,maracaju,125.9,corn
1737,bx710,2016,naviraí,79.4,corn
1738,bx710,2016,rio brilhante,156.0,corn
1739,bx710,2014,são gabriel do oeste,136.6,corn
1740,bx710,2016,sidrolândia,144.9,corn
1741,bx710yg,2009,aral moreira,106.3,corn
1742,bx710yg,2010,aral moreira,130.7,corn
1743,bx710yg,2009,dourados,37.3,corn
1744,bx710yg,2010,dourados,99.2,corn
1745,bx710yg,2011,dourados,118.6,corn
1746,bx710yg,2009,maracaju,99.9,corn
1747,bx710yg,2010,maracaju,122.0,corn
1748,bx710yg,2011,maracaju,116.2,corn
1749,bx710yg,2009,naviraí,104.1,corn
1750,bx710yg,2010,naviraí,99.2,corn
1751,bx710yg,2011,naviraí,120.7,corn
1752,bx710yg,2009,rio brilhante,82.2,corn
1753,bx710yg,2010,rio brilhante,107.9,corn
1754,bx710yg,2011,rio brilhante,117.1,corn
1755,bx710yg,2009,são gabriel do oeste,81.5,corn
1756,bx710yg,2011,são gabriel do oeste,110.2,corn
1757,bx710yg,2009,sidrolândia,98.5,corn
1758,bx710yg,2010,sidrolândia,90.3,corn
1759,bx710yg,2011,sidrolândia,130.7,corn
1760,bx710yg,2009,sonora,48.5,corn
1761,bx710yg,2011,sonora,91.2,corn
1762,bx907yg,2014,amambai,80.6,corn
1763,bx907yg,2014,dourados,124.2,corn
1764,bx907yg,2014,maracaju,106.8,corn
1765,bx907yg,2014,naviraí,122.4,corn
1766,bx907yg,2014,são gabriel do oeste,105.0,corn
1767,bx907yg,2014,sidrolândia,148.6,corn
1768,bx907yg,2016,amambai,111.9,corn
1769,bx920yg,2015,amambai,101.0,corn
1770,bx945,2014,amambai,114.3,corn
1771,bx945,2013,antônio joão,108.7,corn
1772,bx945,2013,dourados,171.4,corn
1773,bx945,2014,dourados,138.2,corn
1774,bx945,2013,maracaju,129.8,corn
1775,bx945,2014,maracaju,109.2,corn
1776,bx945,2013,naviraí,88.8,corn
1777,bx945,2014,naviraí,129.1,corn
1778,bx945,2013,rio brilhante,86.0,corn
1779,bx945,2013,são gabriel do oeste,121.0,corn
1780,bx945,2014,são gabriel do oeste,130.3,corn
1781,bx945,2013,sidrolândia,119.2,corn
1782,bx945,2014,sidrolândia,132.6,corn
1783,bx945,2014,amambai,97.0,corn
1784,bx945,2015,amambai,124.8,corn
1785,bx945,2016,amambai,106.2,corn
1786,bx945,2013,antônio joão,121.6,corn
1787,bx945,2012,aral moreira,65.0,corn
1788,bx945,2015,bonito,118.8,corn
1789,bx945,2016,bonito,105.0,corn
1790,bx945,2016,deodápolis,70.5,corn
1791,bx945,2012,dourados,122.1,corn
1792,bx945,2013,dourados,151.9,corn
1793,bx945,2014,dourados,124.8,corn
