id,material,harvest,site,productivity,species
174,na 7321 rr,2008,são gabriel do oeste,62.5,soy
175,na 7337 rr,2008,são gabriel do oeste,61.8,soy
176,brs 268,2008,são gabriel do oeste,61.7,soy
177,fps netuno rr,2008,são gabriel do oeste,61.7,soy
178,brasmax potência rr,2008,são gabriel do oeste,59.8,soy
179,na 7620 rr,2008,são gabriel do oeste,58.7,soy
180,brasmax titan rr,2008,são gabriel do oeste,58.7,soy
181,brs 282,2008,são gabriel do oeste,76.0,soy
182,na 7255 rr,2008,são gabriel do oeste,72.9,soy
183,brsmg 850 rr,2008,são gabriel do oeste,72.3,soy
184,na 7337 rr,2008,são gabriel do oeste,71.6,soy
185,brs pampa rr,2008,são gabriel do oeste,71.3,soy
186,brs 245 rr,2008,são gabriel do oeste,70.5,soy
187,brs 246 rr,2008,são gabriel do oeste,70.2,soy
188,cd 243 rr,2008,são gabriel do oeste,67.7,soy
189,brs charrua rr,2008,são gabriel do oeste,67.2,soy
190,brs 260,2008,são gabriel do oeste,67.1,soy
191,m-soy 8001,2008,são gabriel do oeste,66.6,soy
192,brs 232,2008,são gabriel do oeste,65.6,soy
193,brs 243 rr,2008,são gabriel do oeste,64.8,soy
194,na 7321 rr,2008,são gabriel do oeste,64.7,soy
195,cd 234 rr,2008,são gabriel do oeste,64.7,soy
196,brs 242 rr,2008,são gabriel do oeste,64.0,soy
197,cd 230 rr,2008,são gabriel do oeste,63.9,soy
198,na 7620 rr,2008,são gabriel do oeste,63.8,soy
199,m-soy 7908 rr,2008,são gabriel do oeste,63.3,soy
200,brasmax potência rr,2008,são gabriel do oeste,62.2,soy
201,m-soy 7211 rr,2008,são gabriel do oeste,61.8,soy
202,brsmg favorita rr,2008,são gabriel do oeste,61.7,soy
203,brasmax força rr,2008,são gabriel do oeste,61.5,soy
204,na 8015 rr,2008,são gabriel do oeste,60.5,soy
205,cd 05rr25735 rr,2008,são gabriel do oeste,59.4,soy
206,fundacep 59 rr,2008,são gabriel do oeste,59.3,soy
207,cd 242 rr,2008,são gabriel do oeste,58.6,soy
208,cd 229 rr,2008,são gabriel do oeste,58.5,soy
209,na 5909 rg,2008,são gabriel do oeste,58.0,soy
210,fps netuno rr,2008,são gabriel do oeste,57.2,soy
211,brs 255 rr,2008,são gabriel do oeste,56.8,soy
212,brsmg 750 rr,2008,são gabriel do oeste,55.4,soy
213,cd 245 rr,2008,são gabriel do oeste,51.2,soy
214,cd 240 rr,2008,são gabriel do oeste,50.4,soy
215,cd 237 rr,2008,são gabriel do oeste,31.3,soy
216,m-soy 8527,2008,são gabriel do oeste,30.5,soy
217,cd 244 rr,2008,são gabriel do oeste,28.8,soy
218,brs 245 rr,2008,sidrolândia,50.5,soy
219,brs charrua rr,2008,sidrolândia,50.3,soy
220,fts campo mourão rr,2008,sidrolândia,43.4,soy
221,brs 239,2008,sidrolândia,40.8,soy
222,cd 202,2008,sidrolândia,40.4,soy
223,cd 219 rr,2008,sidrolândia,40.3,soy
224,fundacep 59 rr,2008,sidrolândia,38.4,soy
225,brs favorita rr,2008,sidrolândia,38.1,soy
226,brs 246 rr,2008,sidrolândia,35.2,soy
227,brasmax potência rr,2008,sidrolândia,34.5,soy
228,brs 283,2008,sidrolândia,33.9,soy
229,brs pampa rr,2008,sidrolândia,31.6,soy
230,cd 226 rr,2008,sidrolândia,31.5,soy
231,brasmax força rr,2008,sidrolândia,31.0,soy
232,cd 231 rr,2008,sidrolândia,31.0,soy
233,brs 282,2008,sidrolândia,30.9,soy
234,na 7321 rr,2008,sidrolândia,29.9,soy
235,vmax rr,2008,sidrolândia,28.8,soy
236,na 5909 rg,2008,sidrolândia,28.8,soy
237,na 4990 rr,2008,sidrolândia,27.9,soy
238,cd 233 rr,2008,sidrolândia,27.2,soy
239,brs 284,2008,sidrolândia,25.3,soy
240,cd 235 rr,2008,sidrolândia,20.4,soy
241,fps netuno rr,2008,sidrolândia,7.5,soy
242,cd 05rr25735 rr,2008,sonora,50.3,soy
243,brsmg favorita rr,2008,sonora,47.8,soy
244,m-soy 7908 rr,2008,sonora,46.4,soy
245,brs 245 rr,2008,sonora,45.5,soy
246,brsmg 750 rr,2008,sonora,44.6,soy
247,m-soy 8527,2008,sonora,44.2,soy
