date,Amambaí,Anaurilandia,Campo_Grande,Dourados,Ivinhema,Maracaju,Rio_Brilhante,São_Gabriel_do_Oeste,Sidrolândia
2008-08-20,0.0,60.0,0.0,0.0,0.0,0.2,0.0,0.0,
2008-08-21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-23,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-24,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-27,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-28,2.2,,0.0,0.4,0.0,1.0,0.0,0.0,
2008-08-29,0.2,,12.6,0.0,3.0,0.8,5.0,0.0,
2008-08-30,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-31,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-04,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-05,1.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-06,2.4,38.0,1.4,1.6,0.8,0.4,1.6,0.0,
2008-09-07,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,
2008-09-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-09,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-10,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-12,20.2,,16.6,10.2,5.2,5.2,58.4,0.0,
2008-09-13,2.6,,1.8,1.4,24.4,2.6,1.2,0.0,
2008-09-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-19,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-20,24.0,12.0,18.8,19.8,29.6,7.0,29.8,2.0,
2008-09-21,0.4,20.0,0.2,0.0,1.0,0.8,0.2,0.0,
2008-09-22,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,
2008-09-23,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,
2008-09-24,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,
2008-09-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-26,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,
2008-09-27,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-29,3.4,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-30,4.4,,15.6,5.6,14.6,3.4,5.6,2.2,
2008-10-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-02,1.6,,31.4,0.4,0.6,3.4,6.0,26.2,35.0
2008-10-03,0.0,,0.0,0.0,4.4,0.2,0.0,0.2,0.0
2008-10-04,2.6,,0.0,14.4,2.6,0.2,0.6,0.0,6.0
2008-10-05,13.8,,9.2,28.0,18.4,0.2,25.8,15.8,16.6
2008-10-06,0.0,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-07,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-08,0.0,16.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-09,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-10,0.0,,21.0,0.2,0.0,0.0,0.2,0.2,19.4
2008-10-11,2.8,,7.6,5.2,3.2,0.2,12.0,14.0,7.6
2008-10-12,0.0,48.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-13,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-15,0.0,16.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2008-10-16,1.2,10.0,0.0,26.0,2.0,0.0,8.8,0.0,0.2
2008-10-17,0.0,,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2008-10-18,0.2,60.0,12.8,0.0,3.2,0.0,5.6,0.0,0.2
2008-10-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-20,0.0,60.0,0.0,0.0,0.0,0.0,0.0,8.6,14.6
2008-10-21,0.0,,4.8,0.0,0.0,0.0,0.0,0.4,0.0
2008-10-22,2.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-23,8.6,,0.0,0.0,0.0,0.0,6.6,36.4,0.0
2008-10-24,1.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-25,1.2,,0.0,0.0,0.6,0.0,0.0,0.0,0.0
2008-10-26,17.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-27,9.4,,0.0,0.0,16.4,0.0,3.8,0.0,0.0
2008-10-28,9.6,,0.0,0.0,0.0,0.0,0.0,9.8,0.0
